,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960,1102.0,0.0,0.0,0.0,20865.400000000373,26409.18342,0.0,0.0,6610703.860719997,5379378.2,31.36,10.66,2.91,23.72
1,1961,1234.0,0.0,0.0,0.0,23538.200000001118,26535.06132,0.0,0.0,6690243.83328,5447307.8,28.65,8.21,2.85,22.96
2,1962,800.0,0.0,0.0,0.0,26211.00000000093,25855.32066,0.0,0.0,6821056.63563,5471302.4,24.06,-9.9,2.85,22.69
3,1963,478.0,0.0,0.0,0.0,29252.0,27441.3822,0.0,0.0,6961089.8867,5671443.0,19.71,-19.15,2.91,22.9
4,1964,454.0,0.0,0.0,0.0,31356.0,28838.62689,0.0,0.0,7320770.4032,5739245.0,23.27,-8.16,3.0,23.3
5,1965,743.0,0.0,0.0,0.0,33858.0,30349.16169,0.0,0.0,7445189.80767,5804344.2,26.69,-3.1,3.01,23.0
6,1966,787.0,0.0,0.0,0.0,36774.0,28360.29087,0.0,0.0,7801078.48615,6134694.8,26.8,1.44,3.1,23.01
7,1967,579.0,0.0,0.0,0.0,39907.0,27101.51187,0.0,0.0,8064835.59743,6495779.6,25.33,-12.18,3.12,22.53
8,1968,1326.0,0.0,0.0,0.0,44484.0,28838.62689,0.0,0.0,8408696.969589999,6573604.0,32.95,19.48,3.18,21.99
9,1969,1271.0,0.0,0.0,0.0,48575.0,28309.93971,0.0,0.0,8810076.48582,6680295.0,29.69,8.41,3.32,21.81
10,1970,1005.0,0.0,0.0,0.0,52314.0,29077.7949,0.0,0.0,9376066.64581,7248242.6,23.82,-0.91,3.39,21.04
11,1971,880.0,0.0,0.0,0.0,57344.0,28360.29087,0.0,0.0,9595859.889630001,7092970.8,28.02,-7.76,3.6,21.42
12,1972,830.0,0.0,0.0,0.0,64019.0,50917.61055,0.0,0.0,9733316.363489999,7549773.0,26.85,-2.24,3.6,20.74
13,1973,1700.0,0.0,0.0,0.0,73840.0,97216.0,0.0,0.0,9559534.67428,7509091.8,35.3,19.14,4.75,25.56
14,1974,1631.0,0.0,0.0,0.0,85387.0,107576.0,0.0,0.0,9176624.98543,7320330.8,31.88,7.36,9.35,45.6
15,1975,1927.0,0.0,0.0,0.0,98804.0,144159.7561,0.0,0.0,8415741.68625,7087188.2,27.27,10.2,12.21,54.61
