Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
2005,30948.0,0.0,0.0,734.0,147535.0,0.0,0.0,467.51185,0.0,33.22,0.87,50.04,61.65
2006,37850.0,0.0,0.0,931.0,163564.0,0.0,0.0,641.18263,0.0,36.44,0.18,58.3,69.64
2007,33587.0,0.0,0.0,1247.0,170941.0,2057.452860000001,349.38287,419.35313,0.0,28.99,-8.76,64.2,74.44
2008,33805.0,0.0,0.0,2575.0,180934.0,10450.80229,1782.3974600000001,795.8939999999999,0.0,28.63,-7.79,91.48,102.0
2009,33034.0,0.0,0.0,3470.0,181022.0,8039.446159999998,1379.71444,840.704,0.0,27.62,-4.67,53.48,59.93
2010,30542.0,0.0,0.0,3920.0,191120.0,,,,,37.91,11.4,71.21,78.65
2011,42315.0,0.0,0.0,4775.0,199929.0,,,,,30.68,1.81,87.04,93.21
2012,39410.0,0.0,6.0,6343.0,196973.0,,,,,40.08,9.78,86.46,90.72
2013,33098.0,0.0,20.0,7456.0,197470.0,,,,,22.71,-10.84,91.17,94.25
2014,35262.0,0.0,24.0,7555.0,203606.0,,,,,35.28,-1.24,85.6,87.05
2015,,,,,217629.0,,,,,30.17,-13.58,41.85,42.53
2016,,,,,,,,,,35.07,-1.33,,
