Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2015.0,1650.0249556356744,11340.526631193115,1340.4048789587532,5974.177976484474,28302.50838413958,1284.4479373950762,321.5111566077824,0.0,182.32366458764673,-8969.845339882546,913.6559741403139,10430.718494714745,139.60145124281968,189.5464155040288,19.963635790893697,4333.074236037246,1356.6440498374302,1055.8679648457503,2027.7644308343492,3868.854544834035,1097.1704268084723,581.393756240639,1570.8962881701964,0.0,10031.45458247559,5850.0316896334025,-352.1823300281503,1753.929357202905,1363.147083025698,124.7135475055502,199.41115228320234,1421.5441991109492,29330.55377006827,649.6545522407682,4036.7238729955457,24618.738376955127,2777.022565933259,7.006463915676561,3764.8567894697167,3826.254246696608,8838.076220509358,1442.1820479886612,638.7204757665731,910.6908212864462,1168.442124985802,51119.30970064327,2175.2451522601045,1312.6504696750426,1160.2954812824007
2016.0,1689.2114469332714,8593.780878340016,-621.303706545058,4977.016223970311,36500.58216565511,1363.6152910151254,323.50688655785143,0.0,191.87992514263868,-86110.6495432869,859.2897455646109,11340.942770776104,134.17110037147552,97.32072468647834,25.204555412967345,3851.72290624151,1498.6832950101468,1049.711139451836,1820.3256715413168,3798.4715428391987,1275.5000644346837,697.2208138732294,615.8336263528191,0.0,9607.204819008239,4702.735290527915,-643.3248351176408,1900.2624102570585,1251.8938168455024,135.99297472481481,237.8361046006967,1952.6679981017694,28615.18060928848,625.8523060601772,2474.5317544925656,30839.010567119407,2630.2343368184374,6.87820450726687,2307.34880572046,4995.717970409616,6315.5180793937825,938.4830366271156,763.7731412705072,806.079040283123,1110.7085064731484,61385.694495958756,2685.5060712659765,1254.9203431103315,1061.5750842956602
2017.0,1690.7113762184222,10536.891022146481,-2694.228390482349,3581.1181476393303,36161.355493502095,1435.6468471940698,436.3445955140757,0.0,193.4378892858067,-494940.89574803284,842.3350615679457,11189.117543060127,139.33172170760054,-60.775157070254636,30.244582836749707,3940.8925457527075,1721.2340045431545,1170.9391915274032,1973.5401762111237,4050.861198217242,1414.2455459688426,697.5025358636212,740.6070277246009,0.0,10831.369608760486,4285.821272029632,-3773.0668149006924,2104.93101419591,1520.9912524321937,120.79673216521189,234.73899077929175,1902.6947398271743,30121.93299227908,696.2772267386406,2684.5390524343984,30027.78819658372,2933.244220686569,7.527788009339138,2216.650878045945,7178.514711736945,7059.442608540405,563.4730522856782,831.9749991230825,865.6858048721369,1288.7982167243679,55132.49028925758,3043.6288369423423,1324.6745859551006,1277.4320110806127
2018.0,1702.661093184143,10854.017774842849,-5185.551541689581,1267.0739816406913,33777.46265608027,1574.5369240447485,422.74380034577035,0.0,186.904922176656,-2538420.383049818,804.2619482801149,11146.966027981673,146.07771578875463,-298.66509289548435,37.36130248673407,4010.246623643292,2199.2805605407502,1178.2590207129672,1986.7863245498156,4013.551415033433,1583.3660453964185,614.1233797394525,778.834014876623,0.0,9938.058529769238,4398.249726549778,-8422.614997693188,2337.6800439096073,1459.731044775353,127.39507334427799,234.78292850615344,2021.9132395664842,29494.89880868652,684.3399063603936,2705.3938116625663,32075.344760351352,2952.848926024246,7.640555148935557,2103.110681101725,8531.071294518315,8484.582983644872,500.37874523848154,839.5897183291955,894.7800738838887,1246.607872107983,61017.86652374606,3600.2198867250704,1335.766851824697,1171.8662409504666
2019.0,1723.9126858636819,11249.538996811223,-8985.820766953066,-197.30225447337762,31554.606752701857,1550.956430819262,448.20336249460564,0.0,185.98217244347967,-12286253.41636953,749.1674372701427,11100.82159175498,152.61775061834555,-575.8580096118721,44.966865823893606,4055.993358554875,2988.6759329065244,1204.6797300014941,1991.709335880203,4022.79333835027,1809.4650217212184,665.6959685021702,786.9915063946111,0.0,9558.412526864926,4374.595153454328,-17496.403126111454,2608.504700456218,1484.5767793276418,133.54632638698928,238.17719825018787,1939.2253514063495,29748.502459213174,688.11732777762,2495.3888563177184,33126.10995652515,2965.7802120796496,7.591050387981302,2124.255567789082,10889.90679668287,9367.50395757589,145.8025393262426,849.1366445890792,931.4625377146735,1274.6526343204137,57959.13538172396,4619.809069353476,1350.5275503652656,1085.9125870075384
2020.0,1741.8849073737485,11112.297468030467,-14157.675808142092,-2806.9537222071613,29468.37178255396,1648.5161102762422,482.41453605189935,0.0,192.2609341882358,-57377786.4233121,733.0882783991187,10832.103795361922,162.6159564203041,-972.9767781982871,54.782658572207076,4199.104332952458,4283.740778987671,1236.524130671164,1961.82159200049,4152.800212877621,1989.2694710986543,752.2412247677003,878.0779881527789,0.0,10890.869900319985,4451.0436699195925,-30966.317854776305,2940.224618229327,1575.698551562653,136.39218788071594,233.52589580451257,1909.7671439015262,30147.899965484015,710.1190416907,2879.0785407947988,32558.072423942915,3003.8222559857104,7.534446760588531,2142.403223294304,14227.445217286597,11008.16842738277,91.60378643595618,832.7337383238503,956.3914364900245,1324.0736130799696,62171.74971165504,5893.921503399033,1354.4236318827677,1056.6517866905795
