Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1981,-231.0,11675.0,0.0,0.0,98755.0,0.0,0.0,0.0,0.0,0.0,38.88,-6.15,35.75,94.83
1982,-222.0,14039.0,0.0,0.0,105759.0,0.0,0.0,0.0,0.0,0.0,39.96,-4.93,31.83,79.5
1983,-228.0,6328.0,0.0,0.0,117962.0,0.0,0.0,0.0,0.0,0.0,58.52,12.41,29.08,70.34
1984,-246.0,5610.0,0.0,0.0,133572.0,0.0,0.0,0.0,0.0,0.0,49.16,4.2,28.75,66.67
1985,-244.0,17770.0,0.0,0.0,145929.0,0.0,0.0,0.0,0.0,0.0,39.45,-6.61,26.92,60.27
1986,-286.0,14770.0,0.0,0.0,158836.0,0.0,0.0,0.0,0.0,0.0,45.69,-2.39,14.44,31.72
1987,-309.0,22697.0,0.0,0.0,174629.0,0.0,0.0,0.0,0.0,0.0,44.74,-0.76,17.75,37.62
1988,-219.0,23890.0,0.0,0.0,194709.0,0.0,0.0,0.0,0.0,0.0,40.02,-7.52,14.87,30.33
1989,-244.0,23032.0,0.0,0.0,205075.0,0.0,0.0,0.0,0.0,0.0,54.53,12.41,18.33,35.6
1990,31.0,23770.0,0.0,0.0,214357.0,0.0,0.0,0.0,0.0,0.0,48.96,2.44,23.19,42.62
1991,22.0,24807.0,0.0,0.0,221915.0,0.0,0.0,0.0,0.0,0.0,42.41,-8.26,20.2,35.73
1992,22.0,21595.0,0.0,0.0,230774.0,0.0,0.0,0.0,0.0,0.0,41.69,0.08,19.25,33.04
1993,19.0,24932.0,0.0,0.0,240389.0,0.0,0.0,0.0,0.0,0.0,44.7,-2.48,16.75,27.94
1994,15.0,22129.0,0.0,0.0,251573.0,0.0,0.0,0.0,0.0,0.0,47.31,1.99,15.66,25.44
1995,11.0,16806.0,0.0,0.0,263468.0,0.0,0.0,0.0,0.0,0.0,39.71,-7.98,16.75,26.48
1996,19.0,11028.0,0.0,0.0,278191.0,0.0,0.0,0.0,0.0,0.0,59.17,18.31,20.46,31.4
1997,18.0,13908.0,0.0,0.0,292671.0,0.0,0.0,0.0,0.0,0.0,42.9,-2.41,18.64,27.98
1998,21.0,27132.0,0.0,0.0,321334.0,0.0,0.0,0.0,0.0,0.0,41.75,-8.07,11.91,17.6
1999,17.0,28971.0,0.0,0.0,337918.0,0.0,0.0,0.0,0.0,0.0,47.25,-2.5,16.56,23.89
2000,14.0,28578.0,0.0,0.0,363295.0,0.0,0.0,0.0,0.0,0.0,45.26,1.45,27.39,38.29
2001,18.0,30469.0,0.0,0.0,376678.0,0.0,0.0,0.0,0.0,0.0,35.54,-13.2,23.0,31.3
2002,12.0,30866.0,0.0,0.0,391565.0,0.0,0.0,0.0,0.0,0.0,45.92,-3.84,22.81,30.52
2003,39.0,29709.0,0.0,0.0,408941.0,0.0,0.0,0.0,0.0,0.0,56.48,14.73,27.69,36.26
2004,38.0,27082.0,0.0,0.0,424935.0,0.0,0.0,0.0,0.0,0.0,48.7,3.5,37.66,47.98
2005,31.0,31392.0,0.0,0.0,443148.0,0.0,0.0,0.0,0.0,0.0,48.83,2.26,50.04,61.65
2006,35.0,32568.0,0.0,16.0,465027.0,0.0,0.0,0.0,0.0,0.0,51.41,6.18,58.3,69.64
2007,21.0,32010.0,0.0,20.0,480912.0,0.0,0.0,0.0,0.0,0.0,46.94,-1.44,64.2,74.44
2008,26.0,32195.0,3.0,21.0,491855.0,0.0,0.0,0.0,0.0,0.0,47.24,0.52,91.48,102.0
2009,32.0,34328.0,11.0,21.0,482143.0,0.0,0.0,0.0,0.0,0.0,53.17,9.86,53.48,59.93
2010,18.0,32771.0,21.0,13.0,489130.0,,,,,,44.61,-6.56,71.21,78.65
2011,24.0,33606.0,60.0,11.0,493343.0,,,,,,63.97,16.29,87.04,93.21
2012,11.0,33110.0,266.0,12.0,514662.0,,,,,,42.0,-7.71,86.46,90.72
2013,18.0,33380.0,353.0,11.0,531666.0,,,,,,46.38,1.8,91.17,94.25
2014,17.0,31507.0,406.0,23.0,543787.0,,,,,,48.95,4.21,85.6,87.05
2015,,,,,567738.0,,,,,,43.85,-4.69,41.85,42.53
2016,,,,,,,,,,,40.14,-10.64,,
