,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960,1156.0,0.0,0.0,0.0,1258.7999999999884,261.96,0.0,0.0,0.0,1629.8,18.19,-1.19,2.91,23.72
1,1961,1142.0,0.0,0.0,0.0,1361.0,235.764,0.0,0.0,0.0,1351.4,15.98,-9.82,2.85,22.96
2,1962,1502.0,0.0,0.0,0.0,1463.1999999999825,0.0,0.0,0.0,0.0,980.2,24.58,18.68,2.85,22.69
3,1963,2909.0,0.0,0.0,0.0,1610.0,0.0,0.0,0.0,0.0,1247.0,19.85,0.49,2.91,22.9
4,1964,3094.0,0.0,0.0,0.0,1597.0,0.0,0.0,0.0,0.0,1432.6,17.94,-5.66,3.0,23.3
5,1965,3872.0,0.0,0.0,0.0,1763.0,0.0,0.0,0.0,0.0,1270.2,21.54,9.69,3.01,23.0
6,1966,4849.0,9.0,0.0,0.0,1919.0,0.0,0.0,0.0,0.0,1386.2,18.34,3.19,3.1,23.01
7,1967,4930.0,67.0,0.0,0.0,1960.0,0.0,0.0,0.0,0.0,1223.8,17.41,0.77,3.12,22.53
8,1968,5645.0,-3.0,0.0,0.0,2093.0,0.0,0.0,0.0,0.0,1084.6,21.04,5.93,3.18,21.99
9,1969,6350.0,0.0,0.0,0.0,2273.0,0.0,0.0,0.0,0.0,916.4,17.53,2.19,3.32,21.81
10,1970,6579.0,0.0,0.0,0.0,2437.0,0.0,0.0,0.0,0.0,928.0,18.64,2.91,3.39,21.04
11,1971,7778.0,0.0,0.0,0.0,2656.0,0.0,0.0,0.0,0.0,1351.4,20.95,11.55,3.6,21.42
12,1972,7432.0,0.0,0.0,0.0,3046.0,0.0,0.0,0.0,0.0,1270.2,20.65,15.81,3.6,20.74
13,1973,4837.0,0.0,0.0,0.0,3958.0,0.0,0.0,0.0,0.0,1595.0,18.66,6.1,4.75,25.56
14,1974,5661.0,0.0,0.0,0.0,3966.0,0.0,0.0,0.0,0.0,2865.2,13.05,-14.86,9.35,45.6
15,1975,7927.0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,2737.6,18.34,1.11,12.21,54.61
