,HYTCP,WYTCP,SOEGP,NUETP,
1960,1826,230,0,0,
1961,1489,305,0,0,
1962,1519,320,0,0,
1963,1280,355,0,0,34533
1964,1281,25,0,0,37375
1965,1329,313,0,0,40541
1966,1443,525,0,0,44082
1967,1914,603,0,0,46515
1968,1182,468,0,0,49957
1969,916,415,0,0,54486
1970,1366,465,0,0,56670
1971,779,445,0,0,60293
1972,1533,288,0,0,65390
1973,1372,361,0,0,71852
1974,1393,6998,0,0,78201
1975,1576,15869,0,0,84120
1976,1416,16425,0,0,90743
1977,1205,17821,0,0,99024
1978,760,22329,0,0,110054
1979,1222,18796,0,0,120527
1980,734,12091,0,0,127181
1981,660,14276,0,0,138573
1982,1829,16472,0,0,142077
1983,1170,14718,0,0,152042
1984,1447,21564,0,0,167390
1985,972,26232,0,0,176873
1986,1453,39820,0,0,187386
1987,1132,34982,0,0,202910
1988,705,37862,0,0,220582
1989,1440,39166,0,0,233162
1990,2869,57787,0,0,245281
1991,1920,57476,0,0,255163
1992,2578,60133,0,0,269849
1993,2376,59331,0,0,281704
1994,2750,67207,0,0,296602
1995,2030,66462,0,0,312989
1996,3012,68672,0,0,325001
1997,2249,67655,0,0,342662
1998,2381,61149,0,0,373744
1999,1947,71127,0,0,390617
2000,2290,73771,0,10,408556
2001,1650,73731,0,11,426020
2002,2211,76089,0,58,437895
2003,3346,74361,0,112,456705
2004,3155,77459,0,306,483757
2005,2232,76289,0,284,506505
2006,2844,75298,0,361,525979
2007,2236,77376,0,470,559876
2008,2549,78658,0,729,579432
2009,2683,77328,4,1075,573964
2010,2332,77828,7,1854,596662
2011,3217,76147,18,1794,615411
2012,2242,75174,26,2129,637896
2013,2525,78714,55,3352,661348
2014,2641,78715,50,3565,685420
,,,,,709762
