,HYTCP,WYTCP,SOEGP,NUETP,
1960,185,254,0,0,
1961,197,528,0,0,
1962,189,1193,0,0,
1963,177,934,0,0,39514
1964,178,983,0,0,42478
1965,175,965,0,0,45978
1966,173,1407,0,0,50435
1967,180,807,0,0,52817
1968,166,919,0,0,56331
1969,171,825,0,0,60840
1970,166,2514,0,0,62763
1971,136,4374,0,0,67379
1972,150,13067,0,0,73501
1973,129,20051,0,0,81286
1974,124,19592,0,0,88070
1975,122,22315,0,0,95880
1976,130,26455,0,0,104819
1977,129,28547,0,0,115077
1978,129,32926,0,0,128122
1979,130,27463,0,0,139253
1980,138,27742,0,0,145264
1981,134,29483,0,0,159649
1982,124,27625,0,0,164267
1983,134,28021,0,0,173119
1984,141,34976,0,0,194244
1985,136,39106,0,0,206281
1986,141,42614,0,0,218696
1987,107,50194,0,0,231210
1988,65,69166,0,0,252197
1989,100,74820,0,0,266608
1990,144,71887,0,0,279019
1991,134,71866,0,0,288473
1992,139,73742,0,0,306236
1993,130,78373,0,0,320079
1994,121,72654,0,0,347971
1995,124,78481,0,0,364451
1996,106,69774,0,0,383504
1997,97,51069,0,0,408048
1998,138,55596,0,0,440034
1999,142,81744,0,0,463400
2000,144,89438,0,0,491644
2001,144,92358,0,0,503157
2002,129,90860,0,0,513947
2003,138,94733,0,18,531106
2004,154,92047,0,78,558969
2005,129,93263,0,141,586442
2006,173,94154,0,255,621232
2007,154,95729,0,664,646665
2008,139,95152,0,2337,642698
2009,136,95474,0,2820,638032
2010,119,96190,14,4454,653476
2011,140,95823,14,6213,679776
2012,111,96401,31,7727,711370
2013,120,97131,52,9625,722736
2014,132,97858,50,10083,745810
,,,,,776882
