,HYTCP,WYTCP,SOEGP,NUETP,
1960,1102,0,0,0,
1961,1234,0,0,0,
1962,800,0,0,0,
1963,478,0,0,0,29252
1964,454,0,0,0,31356
1965,743,0,0,0,33858
1966,787,0,0,0,36774
1967,579,0,0,0,39907
1968,1326,0,0,0,44484
1969,1271,0,0,0,48575
1970,1005,0,0,0,52314
1971,880,0,0,0,57344
1972,830,0,0,0,64019
1973,1700,0,0,0,73840
1974,1631,0,0,0,85387
1975,1927,0,0,0,98804
1976,1068,0,0,0,113757
1977,1169,0,0,0,130404
1978,765,0,0,0,149091
1979,1202,0,0,0,171608
1980,979,0,0,0,203073
1981,1145,0,0,0,245235
1982,1027,0,0,0,260085
1983,1107,0,0,0,264883
1984,1031,0,0,0,288637
1985,1401,0,0,0,307224
1986,1972,0,0,0,295721
1987,2158,0,0,0,300667
1988,1235,3792,0,0,327354
1989,1441,9990,0,0,349952
1990,1794,15859,0,0,378943
1991,2225,19800,0,0,393574
1992,2638,24496,0,0,416401
1993,1786,12407,0,0,443775
1994,1530,28745,0,0,475990
1995,1703,36151,0,0,507725
1996,960,35767,0,83,551513
1997,1791,37358,0,81,606982
1998,1425,38685,0,80,648156
1999,1120,36760,0,320,683578
2000,829,37556,0,492,741115
2001,1200,38163,0,1188,776521
2002,1123,35618,0,2656,788944
2003,897,33437,0,2570,833469
2004,1301,40435,0,3138,909635
2005,1333,38232,0,4237,990054
2006,662,41264,0,6671,1088295
2007,1644,40955,0,9006,1179214
2008,1039,40727,0,16225,1243387
2009,1029,41498,0,20026,1166516
2010,1262,41335,8,26251,1243398
2011,563,39648,29,30548,1344733
2012,584,38441,118,32214,1437893
2013,480,38315,161,35874,1532855
2014,386,39287,280,40005,1627865
,,,,,1630082
