Unnamed: 0,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960,20.0,0.0,0.0,0.0,4792.5,18923.11128,0.0,0.0,680278.99665,658027.4,27.2,8.08,2.91,23.72
1,1961,16.0,0.0,0.0,0.0,5215.800000000047,14149.71384,0.0,0.0,696012.88123,650997.8,34.78,18.58,2.85,22.96
2,1962,15.0,0.0,0.0,0.0,5639.099999999977,19498.47615,0.0,0.0,744554.91225,650040.8,27.83,6.05,2.85,22.69
3,1963,17.0,0.0,0.0,0.0,6135.0,24911.16789,0.0,0.0,785939.32863,632820.6,20.95,-17.65,2.91,22.9
4,1964,13.0,0.0,0.0,0.0,6418.0,26914.29003,0.0,0.0,823791.58282,616261.6,24.65,-12.3,3.0,23.3
5,1965,13.0,0.0,0.0,0.0,6831.0,27915.8511,0.0,0.0,850741.74442,607451.4,32.19,10.29,3.01,23.0
6,1966,13.0,0.0,0.0,0.0,7401.0,23909.606819999997,0.0,0.0,908770.42963,601680.4,17.59,-11.3,3.1,23.01
7,1967,9.0,0.0,0.0,0.0,7760.0,24207.94416,0.0,0.0,935016.08894,575360.0,29.36,0.2,3.12,22.53
8,1968,10.0,0.0,0.0,0.0,8487.0,27020.83908,0.0,0.0,895967.14592,548129.0,26.97,1.8,3.18,21.99
9,1969,6.0,0.0,0.0,0.0,9166.0,27979.78053,0.0,0.0,947009.78478,514552.8,30.6,13.21,3.32,21.81
10,1970,7.0,0.0,0.0,0.0,9755.0,34671.06087,0.0,0.0,965023.38303,492147.4,24.1,-0.81,3.39,21.04
11,1971,7.0,0.0,0.0,0.0,10824.0,24527.59131,0.0,0.0,956253.06963,455485.6,28.17,4.37,3.6,21.42
12,1972,5.0,0.0,0.0,0.0,12127.0,26147.13687,0.0,0.0,962523.92022,427715.2,27.9,4.52,3.6,20.74
13,1973,3.0,0.0,0.0,0.0,14000.0,23001.8601,0.0,0.0,961097.89011,384116.6,40.25,27.69,4.75,25.56
14,1974,7.0,0.0,0.0,0.0,15063.0,14282.427280000002,0.0,0.0,951323.16877,357807.8,24.44,0.73,9.35,45.6
15,1975,5.0,0.0,0.0,0.0,16855.0,9703.66343,0.0,0.0,903936.48284,342814.8,26.17,3.39,12.21,54.61
16,1976,5.0,0.0,0.0,0.0,18953.0,12089.9083,0.0,0.0,885082.88339,340541.2,21.0,-7.8,13.1,55.46
17,1977,3.0,0.0,0.0,0.0,20539.0,18024.18345,0.0,0.0,839270.42865,333476.8,32.51,0.81,14.4,57.2
18,1978,5.0,0.0,0.0,0.0,22824.0,25496.128940000002,0.0,0.0,911533.08897,328198.8,23.82,-4.82,14.95,55.24
19,1979,4.0,0.0,0.0,0.0,26300.0,16370.57734,0.0,0.0,863727.9547299999,330571.0,29.58,9.21,25.1,82.51
20,1980,8.0,0.0,0.0,0.0,28298.0,17101.76938,0.0,0.0,802897.92767,348875.8,21.58,-6.69,37.42,109.51
21,1981,8.0,0.0,0.0,0.0,31978.0,29198.14545,398.23034,61.92641999999999,701505.36623,381698.0,29.94,-2.68,35.75,94.83
22,1982,7.0,0.0,0.0,0.0,33491.0,29671.11848,1328.40319,207.30121,482230.88456,409045.0,28.57,8.04,31.83,79.5
23,1983,6.0,0.0,0.0,0.0,35257.0,28732.03535,2495.65468,390.88412999999997,495528.66933,415245.2,26.42,3.35,29.08,70.34
24,1984,7.0,0.0,0.0,0.0,38442.0,29151.352960000004,2979.74492,468.3486,525539.93559,439228.2,28.92,6.67,28.75,66.67
25,1985,9.0,3856.0,0.0,0.0,40658.0,20978.439580000002,3194.87255,503.94683,575837.82999,437360.6,32.91,16.75,26.92,60.27
26,1986,8.0,6959.0,0.0,0.0,41795.0,29479.77324,3376.77978,534.54838,517601.24143,388797.2,31.4,11.9,14.44,31.72
27,1987,9.0,6471.0,0.0,0.0,44164.0,40093.28514,3691.30288,586.42891,541539.5435,347333.0,32.22,13.22,17.75,37.62
28,1988,12.0,6650.0,0.0,0.0,46698.0,15705.329969999999,3702.68696,590.35725,637435.2466600001,341185.0,19.84,-10.4,14.87,30.33
29,1989,10.0,9709.0,0.0,0.0,48814.0,18431.37488,3489.48789,558.36429,649685.11719,321813.0,26.44,-7.61,18.33,35.6
30,1990,13.0,7874.0,0.0,0.0,51874.0,17410.21051,2922.76532,469.30611,625206.8909,321482.4,27.93,1.29,23.19,42.62
