Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
1960,290,0,0,0,,11263,0,0,248.33801,3242.2,37.81,-1199.88,2.91,23.72
1961,297,0,0,0,,11497,0,0,636.99709,36696.6,41.09,-1199.88,2.85,22.96
1962,304,0,0,0,,13587,0,0,2204.75697,59502.2,35.39,-1199.88,2.85,22.69
1963,325,0,0,0,1083,13306,0,0,4540.74947,62292,39.96,-1199.88,2.91,22.9
1964,322,0,0,0,1230,11622,0,0,6331.60975,64142.2,35.71,-1199.88,3,23.3
1965,350,0,0,0,1374,13930,0,0,7323.95229,64542.4,38.04,-1199.88,3.01,23
1966,316,0,0,0,1494,14461,0,0,11374.08276,83276.4,33.79,-1199.88,3.1,23.01
1967,363,0,0,0,1643,14430,0,0,14575.22028,168930.8,39.07,-1199.88,3.12,22.53
1968,364,0,0,0,1899,11700,0,0,17507.82971,383983.2,29.43,-1199.88,3.18,21.99
1969,341,0,0,0,2073,10405,0,0,51347.41686,428927.4,29.44,-1199.88,3.32,21.81
1970,363,0,0,0,2359,8564,0,0,112636.4302,484972.8,36.26,-1199.88,3.39,21.04
1971,363,0,0,0,2539,10888,0,0,122427.3928,461065.2,36.28,-1199.88,3.6,21.42
1972,346,0,0,0,2743,10420,0,0,127754.8033,422779.4,31.32,-1199.88,3.6,20.74
1973,286,0,0,0,3041,10826,0,0,134272.3864,419473.4,31.7,-1199.88,4.75,25.56
1974,326,0,0,0,3999,10920,0,0,131761.2458,409497.4,33.22,-1199.88,9.35,45.6
1975,357,0,0,0,6220,11949,0,0,163486.6167,405037.2,33.22,-1199.88,12.21,54.61
1976,383,0,0,0,7470,11013,0,0,169317.984,367708.4,36.63,-1199.88,13.1,55.46
1977,512,0,0,0,7544,10998,0,0,191411.0345,981365.8,35.14,-1199.88,14.4,57.2
1978,472,0,0,0,9130,11403,0,0,204894.1123,2601996,34.85,-1199.88,14.95,55.24
1979,459,0,0,0,10891,12308,0,0,222210.4138,2965743,37.26,-1199.88,25.1,82.51
1980,539,0,0,0,15282,12339,0,0,232343.8741,3431546.8,38.48,-1199.88,37.42,109.51
1981,590,0,0,0,21824,12604,0,0,244731.7175,3406554.6,40.29,-1199.88,35.75,94.83
1982,561,0,0,0,23461,12994,0,0,265371.6567,3589678,35.07,-1199.88,31.83,79.5
1983,593,0,0,0,22591,12261,0,0,278151.7166,3628056.6,31.95,-1199.88,29.08,70.34
1984,693,0,0,0,23787,13400,0,0,295471.2816,3656325.8,33.03,-1199.88,28.75,66.67
1985,748,0,0,0,26142,22354,0,0,336809.051,3864151.4,39.7,-1199.88,26.92,60.27
1986,809,0,0,0,19181,24492,0,0,315800.925,3951598,37.7,-1199.88,14.44,31.72
1987,872,0,0,0,22925,23275,0,0,404382.95,4152533.2,39.37,-1199.88,17.75,37.62
1988,935,0,0,0,21270,27222,0,0,430999.8186,4281235.2,38.17,-1199.88,14.87,30.33
1989,873,0,0,0,23453,24679,0,0,436221.4492,3967078.2,37.52,-1199.88,18.33,35.6
1990,975,0,0,0,25040,26613,0,0,432358.6146,3754392.2,39.07,-1199.88,23.19,42.62
1991,896,0,0,0,22283,22401,0,0,500739.7922,3806824.2,38.7,-1199.88,20.2,35.73
1992,918,0,0,0,22753,23930,0,0,512421.6727,3638467.6,38.54,-1199.88,19.25,33.04
1993,1303,0,0,0,23284,24975,0,0,496654.9902,3349471,39.25,-1199.88,16.75,27.94
1994,1345,0,0,0,23605,24445,0,0,621304.3942,3299915.8,39.17,-1199.88,15.66,25.44
1995,1372,0,0,0,25449,26488,0,0,546409.8695,3141593.2,31.29,-1199.88,16.75,26.48
1996,1266,0,0,0,26737,23103,0,0,556011.9025,2957994.2,31.64,-1199.88,20.46,31.4
1997,1099,0,0,0,27581,22620,0,0,551062.2235,2743104.2,35.81,-1199.88,18.64,27.98
1998,1113,0,0,0,24030,20966,0,0,545546.1843,2487330,36.54,-1199.88,11.91,17.6
1999,817,0,0,0,24684,24414,0,0,540278.5705,2222554.2,40.29,-1199.88,16.56,23.89
2000,1002,0,0,0,26853,25599,0,0,445541.815,2060154.2,40.08,-1199.88,27.39,38.29
2001,1346,0,0,1,28553,23618,0,0,552013.6191,2038183.8,37.5,-1199.88,23,31.3
2002,1439,0,0,0,29763,17877,0,0,538153.5789,2084143,40.52,-1199.88,22.81,30.52
2003,1583,0,0,0,32039,16863,0,0,561474.2066,2062375.6,39,-1199.88,27.69,36.26
2004,1498,0,0,0,35195,23587,0,0,542458.0562,1928297,38.74,-1199.88,37.66,47.98
2005,1464,0,0,1,40063,22682,0,0,547245.2917,1829436,40.36,-1199.88,50.04,61.65
2006,1224,0,0,1,44679,22230,0,0,496011.6789,1568818.8,38.71,-1199.88,58.3,69.64
2007,1291,0,0,1,49197,20654,0,0,487689.1775,1528851,34.09,-1199.88,64.2,74.44
2008,1172,0,0,0,55461,23041,0,0,447422.2329,1449269.2,37.09,-1199.88,91.48,102
2009,1324,0,0,7,50463,29016,0,0,442657.3784,1365900,35.21,-1199.88,53.48,59.93
2010,1433,0,0,13,54134,0,,,,,33.85,-1199.88,71.21,78.65
2011,1345,0,0,12,58759,0,,,,,38.74,-1199.88,87.04,93.21
2012,1575,0,0,37,60890,0,,,,,37.28,-1199.88,86.46,90.72
2013,1435,0,0,145,59762,0,,,,,40.81,-1199.88,91.17,94.25
2014,1539,0,0,152,58253,0,,,,,36.75,-1199.88,85.6,87.05
2015,,,,,,,,,,,40.1,-1199.88,41.85,42.53
2016,,,,,,,,,,,37.07,-1199.88,,
