Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
2006.0,3397.0,0.0,0.0,149.0,32520.0,0.0,77743.68048,13142.85714,965.7285199999999,8085.2,15.93,-9.43,58.3,69.64
2007.0,2917.0,0.0,0.0,150.0,35165.0,0.0,83403.26028,14162.983430000002,997.93886,9657.0,22.94,6.2,64.2,74.44
2008.0,2993.0,0.0,0.0,145.0,37246.0,0.0,111372.09147999999,18994.65008,1650.576,9842.6,23.68,18.51,91.48,102.0
2009.0,4432.0,0.0,0.0,421.0,36687.0,0.0,129462.80543,22218.16017,2133.258,9616.4,22.59,26.56,53.48,59.93
2010.0,5239.0,0.0,0.0,1372.0,38176.0,0.0,,,,,24.68,28.41,71.21,78.65
2011.0,6608.0,0.0,0.0,2668.0,42253.0,0.0,,,,,22.13,20.94,87.04,93.21
2012.0,5981.0,0.0,0.0,2915.0,43056.0,0.0,,,,,14.58,-19.39,86.46,90.72
2013.0,4063.0,0.0,0.0,2688.0,44668.0,0.0,,,,,24.94,19.18,91.17,94.25
2014.0,5498.0,0.0,0.0,2336.0,45588.0,0.0,,,,,20.19,18.53,85.6,87.05
2015.0,,,,,,,,,,,22.78,11.01,41.85,42.53
2016.0,,,,,,,,,,,20.74,5.06,,
