,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
0,1960.0,278.0,0.0,0.0,0.0,9674.299999999814,0.0,0.0,0.0,40.93046,2140.2,63.16,12.5,2.91,23.72
1,1961.0,263.0,0.0,0.0,0.0,11277.799999999814,0.0,0.0,0.0,39.56611,2169.2,44.39,-9.78,2.85,22.96
2,1962.0,237.0,0.0,0.0,0.0,12881.299999999814,0.0,0.0,0.0,39.56611,2430.2,48.65,-5.51,2.85,22.69
3,1963.0,265.0,0.0,0.0,0.0,14684.0,0.0,0.0,0.0,47.7522,2691.2,51.03,-3.41,2.91,22.9
4,1964.0,290.0,0.0,0.0,0.0,16025.0,0.0,0.0,0.0,54.57395,3596.0,63.44,12.99,3.0,23.3
5,1965.0,298.0,0.0,0.0,0.0,17445.0,0.0,0.0,0.0,145.98531,8491.2,54.69,2.43,3.01,23.0
6,1966.0,290.0,0.0,0.0,0.0,19182.0,0.0,0.0,0.0,289.24192,10434.2,57.6,8.71,3.1,23.01
7,1967.0,286.0,0.0,0.0,0.0,21123.0,0.0,0.0,0.0,167.81489,9094.4,47.69,-6.94,3.12,22.53
8,1968.0,242.0,0.0,0.0,0.0,23793.0,0.0,0.0,0.0,147.34966,8549.2,52.27,3.17,3.18,21.99
9,1969.0,274.0,0.0,0.0,0.0,27427.0,0.0,0.0,0.0,68.21743000000001,10039.8,60.41,10.57,3.32,21.81
10,1970.0,292.0,0.0,0.0,0.0,30691.0,0.0,0.0,0.0,0.0,17394.2,53.11,-2.12,3.39,21.04
11,1971.0,253.0,0.0,0.0,0.0,34161.0,0.0,0.0,0.0,1232.00687,31012.6,48.64,-4.97,3.6,21.42
12,1972.0,238.0,66.0,0.0,0.0,39709.0,0.0,0.0,0.0,19607.62499,98002.6,52.07,-2.45,3.6,20.74
13,1973.0,234.0,4681.0,0.0,0.0,46973.0,0.0,0.0,0.0,39883.14062,189631.0,56.42,3.47,4.75,25.56
14,1974.0,251.0,7877.0,0.0,0.0,52123.0,0.0,0.0,0.0,45573.20282,210835.8,48.49,-6.15,9.35,45.6
15,1975.0,234.0,8370.0,0.0,0.0,55288.0,0.0,0.0,0.0,60473.51601,242886.6,55.15,2.9,12.21,54.61
16,1976.0,259.0,8648.0,0.0,0.0,58729.0,0.0,0.0,0.0,66295.20155,257868.0,51.63,2.93,13.1,55.46
17,1977.0,243.0,17557.0,0.0,0.0,65272.0,0.0,0.0,0.0,70917.75272,270517.8,48.01,-8.01,14.4,57.2
18,1978.0,228.0,15810.0,0.0,0.0,75681.0,0.0,0.0,0.0,79567.94288999999,275708.8,53.33,-0.46,14.95,55.24
19,1979.0,241.0,15391.0,0.0,0.0,86263.0,0.0,0.0,0.0,79204.06371,273574.4,59.85,7.58,25.1,82.51
20,1980.0,215.0,16737.0,0.0,0.0,97899.0,0.0,0.0,0.0,70631.69973,248738.8,49.29,-5.3,37.42,109.51
21,1981.0,180.0,14448.0,0.0,0.0,112167.0,0.0,0.0,0.0,56355.19594,201683.4,44.47,-13.23,35.75,94.83
22,1982.0,261.0,19319.0,0.0,0.0,122282.0,0.0,0.0,0.0,41539.85852,148630.8,61.32,8.61,31.83,79.5
23,1983.0,220.0,14805.0,0.0,0.0,136768.0,0.0,0.0,0.0,35589.49122,112960.8,64.89,15.06,29.08,70.34
24,1984.0,213.0,24078.0,0.0,0.0,155993.0,0.0,0.0,0.0,23720.40984,83879.6,49.34,-3.12,28.75,66.67
25,1985.0,244.0,23461.0,0.0,0.0,170894.0,0.0,0.0,0.0,20067.22604,66456.4,52.34,-4.49,26.92,60.27
26,1986.0,212.0,22036.0,0.0,0.0,185852.0,0.0,0.0,0.0,16512.51679,54421.4,52.36,-7.75,14.44,31.72
27,1987.0,217.0,18773.0,0.0,0.0,204816.0,0.0,0.0,0.0,15236.04612,47971.8,52.81,-4.09,17.75,37.62
28,1988.0,209.0,26198.0,0.0,0.0,224848.0,0.0,0.0,0.0,14009.91457,44921.0,52.54,-1.32,14.87,30.33
29,1989.0,234.0,20916.0,0.0,0.0,241633.0,0.0,0.0,0.0,13897.17625,42276.2,48.7,-5.39,18.33,35.6
30,1990.0,175.0,21780.0,0.0,0.0,256589.0,0.0,0.0,0.0,11693.56462,32915.0,42.61,-20.84,23.19,42.62
31,1991.0,263.0,20508.0,0.0,0.0,267669.0,0.0,0.0,0.0,8370.91756,27405.0,62.61,7.0,20.2,35.73
32,1992.0,236.0,25116.0,0.0,0.0,284673.0,0.0,0.0,0.0,11273.9735,31465.0,56.18,4.43,19.25,33.04
33,1993.0,211.0,25887.0,0.0,0.0,304403.0,0.0,0.0,0.0,11680.47609,32503.2,49.92,-7.55,16.75,27.94
34,1994.0,274.0,26682.0,0.0,0.0,327167.0,0.0,0.0,0.0,10844.18408,35339.4,64.77,12.02,15.66,25.44
35,1995.0,231.0,28741.0,0.0,0.0,346951.0,0.0,0.0,0.0,9328.60555,33019.4,59.1,6.85,16.75,26.48
36,1996.0,216.0,25470.0,0.0,0.0,370912.0,0.0,0.0,0.0,8865.50211,36493.6,53.96,1.42,20.46,31.4
37,1997.0,241.0,22968.0,0.0,0.0,393074.0,0.0,0.0,0.0,8815.03516,37009.8,59.65,8.78,18.64,27.98
38,1998.0,199.0,31115.0,0.0,0.0,434494.0,0.0,0.0,0.0,8416.02927,34631.8,57.05,-5.99,11.91,17.6
39,1999.0,140.0,31526.0,0.0,0.0,464773.0,0.0,0.0,0.0,8642.598259999999,28391.0,49.69,-5.41,16.56,23.89
