,Year,HYTCP,WYTCP,SOEGP,NUETP,GDP,CLPRB,EMFDB,ENPRP,NGMPB,PAPRB,PCP,ZNDX,Nominal Price,Inflation Adjusted Price
14,1974.0,-282.0,3673.0,0.0,0.0,52987.0,0.0,0.0,0.0,0.0,0.0,44.01,0.01,9.35,45.6
15,1975.0,-272.0,3146.0,0.0,0.0,56052.0,0.0,0.0,0.0,0.0,0.0,57.65,15.4,12.21,54.61
16,1976.0,-245.0,3855.0,0.0,0.0,60496.0,0.0,0.0,0.0,0.0,0.0,38.68,-6.43,13.1,55.46
17,1977.0,-167.0,6959.0,0.0,0.0,65839.0,0.0,0.0,0.0,0.0,0.0,48.54,0.98,14.4,57.2
18,1978.0,-173.0,8169.0,0.0,0.0,72918.0,0.0,0.0,0.0,0.0,0.0,47.63,3.61,14.95,55.24
19,1979.0,-283.0,6611.0,0.0,0.0,81051.0,0.0,0.0,0.0,0.0,0.0,56.49,14.39,25.1,82.51
20,1980.0,-282.0,7627.0,0.0,0.0,88334.0,0.0,0.0,0.0,0.0,0.0,38.21,-9.42,37.42,109.51
21,1981.0,-231.0,11675.0,0.0,0.0,98755.0,0.0,0.0,0.0,0.0,0.0,38.88,-6.15,35.75,94.83
22,1982.0,-222.0,14039.0,0.0,0.0,105759.0,0.0,0.0,0.0,0.0,0.0,39.96,-4.93,31.83,79.5
23,1983.0,-228.0,6328.0,0.0,0.0,117962.0,0.0,0.0,0.0,0.0,0.0,58.52,12.41,29.08,70.34
24,1984.0,-246.0,5610.0,0.0,0.0,133572.0,0.0,0.0,0.0,0.0,0.0,49.16,4.2,28.75,66.67
25,1985.0,-244.0,17770.0,0.0,0.0,145929.0,0.0,0.0,0.0,0.0,0.0,39.45,-6.61,26.92,60.27
26,1986.0,-286.0,14770.0,0.0,0.0,158836.0,0.0,0.0,0.0,0.0,0.0,45.69,-2.39,14.44,31.72
27,1987.0,-309.0,22697.0,0.0,0.0,174629.0,0.0,0.0,0.0,0.0,0.0,44.74,-0.76,17.75,37.62
28,1988.0,-219.0,23890.0,0.0,0.0,194709.0,0.0,0.0,0.0,0.0,0.0,40.02,-7.52,14.87,30.33
29,1989.0,-244.0,23032.0,0.0,0.0,205075.0,0.0,0.0,0.0,0.0,0.0,54.53,12.41,18.33,35.6
30,1990.0,31.0,23770.0,0.0,0.0,214357.0,0.0,0.0,0.0,0.0,0.0,48.96,2.44,23.19,42.62
31,1991.0,22.0,24807.0,0.0,0.0,221915.0,0.0,0.0,0.0,0.0,0.0,42.41,-8.26,20.2,35.73
32,1992.0,22.0,21595.0,0.0,0.0,230774.0,0.0,0.0,0.0,0.0,0.0,41.69,0.08,19.25,33.04
33,1993.0,19.0,24932.0,0.0,0.0,240389.0,0.0,0.0,0.0,0.0,0.0,44.7,-2.48,16.75,27.94
34,1994.0,15.0,22129.0,0.0,0.0,251573.0,0.0,0.0,0.0,0.0,0.0,47.31,1.99,15.66,25.44
35,1995.0,11.0,16806.0,0.0,0.0,263468.0,0.0,0.0,0.0,0.0,0.0,39.71,-7.98,16.75,26.48
36,1996.0,19.0,11028.0,0.0,0.0,278191.0,0.0,0.0,0.0,0.0,0.0,59.17,18.31,20.46,31.4
37,1997.0,18.0,13908.0,0.0,0.0,292671.0,0.0,0.0,0.0,0.0,0.0,42.9,-2.41,18.64,27.98
38,1998.0,21.0,27132.0,0.0,0.0,321334.0,0.0,0.0,0.0,0.0,0.0,41.75,-8.07,11.91,17.6
39,1999.0,17.0,28971.0,0.0,0.0,337918.0,0.0,0.0,0.0,0.0,0.0,47.25,-2.5,16.56,23.89
40,2000.0,14.0,28578.0,0.0,0.0,363295.0,0.0,0.0,0.0,0.0,0.0,45.26,1.45,27.39,38.29
41,2001.0,18.0,30469.0,0.0,0.0,376678.0,0.0,0.0,0.0,0.0,0.0,35.54,-13.2,23.0,31.3
42,2002.0,12.0,30866.0,0.0,0.0,391565.0,0.0,0.0,0.0,0.0,0.0,45.92,-3.84,22.81,30.52
43,2003.0,39.0,29709.0,0.0,0.0,408941.0,0.0,0.0,0.0,0.0,0.0,56.48,14.73,27.69,36.26
44,2004.0,38.0,27082.0,0.0,0.0,424935.0,0.0,0.0,0.0,0.0,0.0,48.7,3.5,37.66,47.98
45,2005.0,31.0,31392.0,0.0,0.0,443148.0,0.0,0.0,0.0,0.0,0.0,48.83,2.26,50.04,61.65
46,2006.0,35.0,32568.0,0.0,16.0,465027.0,0.0,0.0,0.0,0.0,0.0,51.41,6.18,58.3,69.64
47,2007.0,21.0,32010.0,0.0,20.0,480912.0,0.0,0.0,0.0,0.0,0.0,46.94,-1.44,64.2,74.44
48,2008.0,26.0,32195.0,3.0,21.0,491855.0,0.0,0.0,0.0,0.0,0.0,47.24,0.52,91.48,102.0
49,2009.0,32.0,34328.0,11.0,21.0,482143.0,0.0,0.0,0.0,0.0,0.0,53.17,9.86,53.48,59.93
50,2010.0,18.0,32771.0,21.0,13.0,489130.0,0.0,0.0,0.0,0.0,0.0,44.61,-6.56,71.21,78.65
51,2011.0,24.0,33606.0,60.0,11.0,493343.0,0.0,0.0,0.0,0.0,0.0,63.97,16.29,87.04,93.21
52,2012.0,11.0,33110.0,266.0,12.0,514662.0,0.0,0.0,0.0,0.0,0.0,42.0,-7.71,86.46,90.72
53,2013.0,18.0,33380.0,353.0,11.0,531666.0,0.0,0.0,0.0,0.0,0.0,46.38,1.8,91.17,94.25
54,2014.0,17.0,31507.0,406.0,23.0,543787.0,0.0,0.0,0.0,0.0,0.0,48.95,4.21,85.6,87.05
55,2015.0,,,,,515048.3684113659,0.0,0.0,0.0,0.0,0.0,43.85,-4.69,41.85,42.53
56,2016.0,,,,,525350.6757129468,0.0,0.0,0.0,0.0,0.0,40.14,-10.64,46.123462737126886,45.34334281602651
57,2017.0,,,,,536046.3482020646,0.0,0.0,0.0,0.0,0.0,48.46245628810975,3.780189686240675,50.27031775246161,47.865574195635816
58,2018.0,,,,,546745.9905148037,0.0,0.0,0.0,0.0,0.0,47.72679063496649,1.4783354479343132,53.639684141308464,49.56425183269465
59,2019.0,,,,,557445.6630546227,0.0,0.0,0.0,0.0,0.0,47.13586448769661,-0.014714982686200528,56.231561903667796,51.26292946975343
60,2020.0,,,,,568145.3456701376,0.0,0.0,0.0,0.0,0.0,48.038727554511965,2.0920732952056937,58.8234396660269,52.96160710681224
