,HYTCP,WYTCP,SOEGP,NUETP,
1960,1060,0,0,0,
1961,1407,0,0,0,
1962,1293,0,0,0,
1963,1483,0,0,0,1624
1964,1878,0,0,0,1591
1965,2497,0,0,0,1825
1966,1929,0,0,0,1846
1967,2771,0,0,0,1874
1968,2499,0,0,0,1958
1969,2939,0,0,0,2178
1970,2815,0,0,0,2294
1971,3235,0,0,0,2632
1972,3095,0,0,0,3078
1973,2382,0,0,0,4404
1974,2729,0,0,0,4506
1975,3345,0,0,0,4869
1976,3272,0,0,0,5052
1977,1994,0,0,0,5243
1978,3034,0,0,0,6417
1979,2736,0,0,0,7218
1980,2513,0,0,0,7645
1981,2250,0,0,0,9954
1982,2553,0,0,0,9954
1983,2377,0,0,0,10045
1984,2362,0,0,0,10642
1985,2173,0,0,0,10655
1986,2326,0,0,0,9773
1987,1982,0,0,0,10306
1988,1884,0,0,0,9748
1989,1893,0,0,0,10729
1990,1711,0,0,0,11509
1991,1757,0,0,0,11691
1992,1699,0,0,0,12896
1993,1415,0,0,0,13049
1994,1856,0,0,0,14304
1995,2457,0,0,0,14842
1996,3151,0,0,0,16491
1997,3320,0,0,0,16501
1998,2296,0,0,0,16761
1999,2609,0,0,0,16958
2000,2123,0,0,0,17973
2001,1332,0,0,0,18971
2002,1593,0,0,0,20263
2003,1724,0,0,59,22194
2004,1546,0,0,215,23262
2005,1342,0,0,220,24622
2006,1521,0,0,369,26414
2007,1305,0,0,621,28887
2008,1253,0,0,1693,32495
2009,1475,0,0,2998,32489
2010,2042,0,0,4096,36202
2011,2580,0,0,5236,42164
2012,2477,0,0,5275,52493
2013,1852,0,0,5519,54982
2014,2531,0,0,6202,59308
,,,,,55860
